Title,Description,ImageFile,Category
"Sharp edges of pipes","Sharp edges of pipes in the swimming pool need to be covered for safety.","00000003-PHOTO-2026-04-21-11-12-20.jpg","Plumbing"
"Granite fixing","Granite needs to be fixed properly to ensure durability.","00000004-PHOTO-2026-04-21-11-12-20.jpg","Structural"
"Broken tiles","Broken tiles and uneven surfaces near the swimming pool require repair.","00000005-PHOTO-2026-04-21-11-12-20.jpg","Common Areas"
"Changing rooms fittings","Changing rooms need finishing work and fittings to be completed.","00000006-PHOTO-2026-04-21-11-12-21.jpg","Amenities"
"Painting and light fixtures","Changing room painting and light fixtures need to be installed.","00000007-PHOTO-2026-04-21-11-12-21.jpg","Electrical"
"Electric points","Electric points need to be completed for proper functionality.","00000008-PHOTO-2026-04-21-11-12-21.jpg","Electrical"
"Open holes","Open holes in the swimming pool need to be sealed for safety.","00000009-PHOTO-2026-04-21-11-12-22.jpg","Plumbing"
"Granite and uneven surfaces","Granites and uneven surfaces around the pool need attention.","00000010-PHOTO-2026-04-21-11-12-22.jpg","Structural"
"Wall near pool","The wall near the pool needs to be constructed or repaired.","00000011-PHOTO-2026-04-21-11-12-22.jpg","Structural"
"Safety railing","Safety railing and wall near the pool need to be installed.","00000012-PHOTO-2026-04-21-11-12-23.jpg","Security"
"Hanging pipes","Hanging pipes need to be removed to avoid hazards.","00000013-PHOTO-2026-04-21-11-12-23.jpg","Plumbing"
"Pool finishing","Finishing work for the pool needs to be completed.","00000014-PHOTO-2026-04-21-11-12-23.jpg","Amenities"
"Electric points in clubhouse","Electric points in the clubhouse need to be installed.","00000015-PHOTO-2026-04-21-11-12-23.jpg","Electrical"
"Badminton room changing room","Changing room in the badminton room needs to be completed.","00000016-PHOTO-2026-04-21-11-12-24.jpg","Amenities"
"Electric fixtures","Electric fixtures on the clubhouse's first floor need to be installed.","00000017-PHOTO-2026-04-21-11-12-24.jpg","Electrical"
"Changing room door","The changing room door needs to be installed.","00000018-PHOTO-2026-04-21-11-12-24.jpg","Amenities"
"Sharp edges","Sharp edges around the badminton court need to be covered for safety.","00000019-PHOTO-2026-04-21-11-12-25.jpg","Security"
"Bathroom fittings","Bathroom fittings in the clubhouse need to be installed.","00000020-PHOTO-2026-04-21-11-12-25.jpg","Plumbing"
"Gym grill","The grill on the front of the gym needs to be installed.","00000021-PHOTO-2026-04-21-11-12-25.jpg","Security"
"Gym roof","The roof in the gym needs to be completed.","00000022-PHOTO-2026-04-21-11-12-26.jpg","Structural"
"Gym grill outside","The grill outside the gym needs to be installed.","00000023-PHOTO-2026-04-21-11-12-26.jpg","Security"
"Electric work on top floors","Electric work on the top floors of the clubhouse needs to be completed.","00000024-PHOTO-2026-04-21-11-12-26.jpg","Electrical"
"Clubhouse finishing","Finishing work on the first floor of the clubhouse needs to be completed.","00000025-PHOTO-2026-04-21-11-12-27.jpg","Amenities"
"Grill on top floor","The grill on the top floor of the clubhouse needs to be installed.","00000026-PHOTO-2026-04-21-11-12-27.jpg","Security"
"Electric work on 2nd floor","Electric work and fixtures on the second floor of the clubhouse need to be completed.","00000027-PHOTO-2026-04-21-11-12-27.jpg","Electrical"
"Wall paint","Wall paint and finishing need to be completed.","00000028-PHOTO-2026-04-21-11-12-28.jpg","Common Areas"
"Opening on 1st floor","The opening on the first floor of the clubhouse needs to be fixed.","00000029-PHOTO-2026-04-21-11-12-28.jpg","Structural"
